GENE,SNP,baseMean,EFFECTSIZE,lfcSE,stat,pvalue,P
LOC120100141,LOC120100141,6.735173958,-1.88422787,0.480108523,-4.357913695,1.31E-05,0.000157697
LOC102553183,LOC102553183,122.8827245,-1.883784856,0.398472138,-4.733647221,2.21E-06,3.32E-05
LOC120094101,LOC120094101,9.514215512,-1.882550405,0.482444897,-4.046116888,5.21E-05,0.000510636
LOC102551819,LOC102551819,3545.640974,-1.879562983,0.161831789,-11.61387331,3.50E-31,1.91E-28
LOC120099700,LOC120099700,17.13321104,-1.879459508,0.457655865,-4.084463549,4.42E-05,0.000444496
LOC103690224,LOC103690224,10.33664055,-1.876882971,0.487189943,-3.842223042,0.000121925,0.001050095
LOC120101910,LOC120101910,8.656166405,-1.875258783,0.486552815,-3.79864982,0.000145486,0.001217948
A1cf,A1cf,6.840712368,-1.874864084,0.479823868,-4.356596847,1.32E-05,0.000158239
LOC108348833,LOC108348833,53.31547832,-1.872497312,0.42617471,-4.402030906,1.07E-05,0.000132132
LOC120093570,LOC120093570,27.30908802,-1.872102343,0.464775239,-4.042948976,5.28E-05,0.000516767
LOC120101666,LOC120101666,39.418369,-1.87076577,0.460902564,-4.086179319,4.39E-05,0.000441703
Skap1,Skap1,22.6931239,-1.869396756,0.434667883,-4.282734234,1.85E-05,0.000211311
LOC103693202,LOC103693202,102.0860604,-1.868683651,0.311134447,-6.000067423,1.97E-09,6.61E-08
Slc26a10,Slc26a10,12.95123775,-1.86226582,0.48374695,-3.847616379,0.000119273,0.001030602
LOC120094233,LOC120094233,6.519582035,-1.855963542,0.4793509,-4.312296996,1.62E-05,0.000188424
Atrx,Atrx,3891.235565,-1.85566078,0.197361837,-9.402188423,5.34E-21,9.18E-19
Mgat4c,Mgat4c,7.547022256,-1.854255649,0.48771707,-3.690804488,0.000223546,0.001752732
Asphd1,Asphd1,12.98271137,-1.854045881,0.488104678,-3.903652039,9.48E-05,0.000847557
LOC120095911,LOC120095911,40.0200906,-1.853896704,0.395245923,-4.675489962,2.93E-06,4.24E-05
Trnap-ugg_7,Trnap-ugg_7,29.56413414,-1.853341234,0.44427229,-4.172657925,3.01E-05,0.000321028
LOC120100377,LOC120100377,34.15126529,-1.853187743,0.386484108,-4.77418142,1.80E-06,2.80E-05
LOC120101764,LOC120101764,386.1404998,-1.853128929,0.258938907,-7.155234348,8.35E-13,5.57E-11
Il1rl1,Il1rl1,27.29853518,-1.851574218,0.436187835,-4.229993536,2.34E-05,0.000259644
Mir3084a-4,Mir3084a-4,9.306183336,-1.851446605,0.482554764,-3.752903247,0.000174798,0.001422865
Map4,Map4,4050.395613,-1.850283004,0.154281021,-11.99253477,3.89E-33,3.00E-30
Iqck,Iqck,102.2037279,-1.84994415,0.295590717,-6.251495871,4.07E-10,1.61E-08
LOC120097973,LOC120097973,13.5813764,-1.849613045,0.466385561,-3.923657285,8.72E-05,0.000790432
LOC102549917,LOC102549917,9.11561363,-1.849010399,0.487440398,-3.80409928,0.000142321,0.001197939
Oxsr1,Oxsr1,1029.095179,-1.84863876,0.255716694,-7.228646727,4.88E-13,3.40E-11
Nek5,Nek5,18.09429746,-1.845606173,0.465848786,-3.946770853,7.92E-05,0.000730037
Msn,Msn,383.1910773,-1.84498914,0.223754301,-8.243220058,1.68E-16,1.91E-14
Ptprt,Ptprt,2441.381111,-1.843779979,0.216797755,-8.504429836,1.82E-17,2.32E-15
LOC120094760,LOC120094760,13.09346995,-1.843066196,0.476143819,-3.855312746,0.000115582,0.001004755
Nefm,Nefm,150.4311861,-1.843050334,0.261507762,-7.041554589,1.90E-12,1.20E-10
LOC120102950,LOC120102950,59.0623475,-1.841547028,0.326508445,-5.626197438,1.84E-08,4.90E-07
Incenp,Incenp,535.0901608,-1.841372763,0.231960544,-7.936904541,2.07E-15,2.09E-13
Adrb3,Adrb3,8.169481562,-1.837630837,0.478268605,-4.436498451,9.14E-06,0.000114946
Trnap-agg_3,Trnap-agg_3,11.11139178,-1.836914441,0.48768366,-3.776321134,0.000159162,0.001311705
LOC120100833,LOC120100833,20.95578708,-1.836100585,0.453996413,-4.027896744,5.63E-05,0.000546083
Sparc,Sparc,2127.310306,-1.835552326,0.194964348,-9.414449269,4.76E-21,8.40E-19
Il2ra,Il2ra,8.971069074,-1.835494129,0.484080472,-3.72497989,0.000195331,0.001561888
LOC681458,LOC681458,16.95504063,-1.835015735,0.475145198,-3.872956422,0.000107523,0.000943587
LOC102547888,LOC102547888,12.77345491,-1.833812225,0.478674705,-3.806370186,0.000141021,0.001190782
LOC108351073,LOC108351073,25.80920233,-1.833145243,0.421070803,-4.338669324,1.43E-05,0.00016963
Dnah3,Dnah3,6.888991906,-1.833004058,0.482814774,-3.803734435,0.000142531,0.001198618
Igsf9b,Igsf9b,820.7242635,-1.830722358,0.215802713,-8.482387803,2.21E-17,2.75E-15
Csf3,Csf3,9.093624387,-1.830304228,0.477838087,-4.498378958,6.85E-06,8.93E-05
Itga11,Itga11,21.58910477,-1.83021816,0.455903338,-4.011333492,6.04E-05,0.000579186
LOC108349449,LOC108349449,120.1703735,-1.828038227,0.298387975,-6.121151771,9.29E-10,3.38E-08
Spop,Spop,2635.764251,-1.827485642,0.149674813,-12.20911873,2.78E-34,2.34E-31
Ptpn11,Ptpn11,13921.18942,-1.827181257,0.181012069,-10.09422106,5.86E-24,1.51E-21
Cpd,Cpd,102.3615218,-1.825908594,0.36278384,-5.032118492,4.85E-07,8.80E-06
LOC102551711,LOC102551711,11.16434066,-1.824493465,0.486454742,-3.902436956,9.52E-05,0.000851414
Gal3st2,Gal3st2,103.8604625,-1.824251991,0.351054397,-5.195314637,2.04E-07,4.14E-06
Fst,Fst,17.89583356,-1.824161943,0.466597019,-3.887424282,0.000101314,0.000897162
LOC102549543,LOC102549543,8.722652496,-1.822370419,0.485916197,-3.72052739,0.000198807,0.001585583
Gad1,Gad1,17.62427837,-1.820063359,0.454374825,-3.981058479,6.86E-05,0.00064711
Cfap251,Cfap251,13.39605507,-1.818220841,0.487420617,-3.80848501,0.000139821,0.0011828
Cep126,Cep126,11.50036988,-1.817596838,0.487658737,-3.822548112,0.00013208,0.001126428
LOC108351405,LOC108351405,19.68039484,-1.817083843,0.468481015,-3.884958166,0.000102348,0.000905021
Gpbp1l1,Gpbp1l1,22.65622723,-1.815259171,0.421769811,-4.273950632,1.92E-05,0.000219003
LOC102550965,LOC102550965,10.52470534,-1.814158873,0.486621179,-3.854817492,0.000115816,0.00100589
LOC120093168,LOC120093168,26.28872775,-1.812344467,0.45369486,-3.999624818,6.34E-05,0.000605779
Fgf22,Fgf22,33.03495077,-1.809847625,0.420795205,-4.285286183,1.83E-05,0.000209936
LOC120103618,LOC120103618,8.783073034,-1.806598459,0.487314673,-3.657985266,0.000254206,0.001951049
Ms4a13-ps1,Ms4a13-ps1,28.41634024,-1.805739183,0.425109173,-4.226897921,2.37E-05,0.000262454
Alpk1,Alpk1,21.86682745,-1.802894933,0.424973198,-4.211758282,2.53E-05,0.000278025
LOC120095760,LOC120095760,54.5553416,-1.802832646,0.400696459,-4.496948395,6.89E-06,8.98E-05
Mettl4,Mettl4,31.31946356,-1.802015719,0.463508497,-3.89304737,9.90E-05,0.000880818
LOC100910864,LOC100910864,20.27922698,-1.801993381,0.484281123,-3.794949391,0.000147674,0.001232918
LOC120096528,LOC120096528,6.736723748,-1.801733695,0.4831705,-3.782566629,0.00015522,0.001284927
Trnaa-agc_63,Trnaa-agc_63,6.486070282,-1.800053423,0.4822346,-3.74158773,0.000182861,0.00147876
RGD1559575,RGD1559575,13.52342028,-1.799865921,0.486540694,-3.94103928,8.11E-05,0.000745884
Ect2l,Ect2l,5.979167122,-1.797921609,0.482383638,-3.684106453,0.000229506,0.001795669
LOC102548467,LOC102548467,6.977133858,-1.797341955,0.484890293,-3.564782599,0.000364158,0.002616265
Trnh,Trnh,396.8857166,-1.797038269,0.225506774,-7.966779384,1.63E-15,1.66E-13
Pkp4,Pkp4,4849.91842,-1.796954268,0.15263196,-11.77285822,5.39E-32,3.70E-29
LOC103691411,LOC103691411,8.146644628,-1.796297548,0.487987586,-3.647204217,0.000265109,0.002019688
Fam32a,Fam32a,3607.7141,-1.795772239,0.198047155,-9.067208651,1.22E-19,1.77E-17
Ubb,Ubb,28.24530244,-1.794210026,0.388097411,-4.595335819,4.32E-06,5.95E-05
Map1b,Map1b,14747.65938,-1.79351854,0.177129631,-10.12543373,4.26E-24,1.13E-21
LOC120095433,LOC120095433,8.73279293,-1.790728942,0.486765225,-3.646569229,0.000265765,0.002023852
Trny,Trny,20.67034077,-1.790670916,0.458080674,-3.900392508,9.60E-05,0.000857809
LOC120093591,LOC120093591,79.69277618,-1.788449462,0.379019855,-4.718672301,2.37E-06,3.54E-05
LOC102553847,LOC102553847,6.368782657,-1.787508179,0.477184237,-4.234623453,2.29E-05,0.000255117
LOC120102923,LOC120102923,6.368782657,-1.787508179,0.477184237,-4.234623453,2.29E-05,0.000255117
LOC102549101,LOC102549101,10.53465874,-1.786901762,0.486805211,-3.774964058,0.000160031,0.001318186
LOC120095190,LOC120095190,168.2969176,-1.785851203,0.296513096,-6.020726762,1.74E-09,5.89E-08
LOC120093554,LOC120093554,7.084711125,-1.784238606,0.482419383,-3.797654974,0.000146071,0.001221192
LOC108349434,LOC108349434,31.83863578,-1.782997411,0.424571631,-4.193643651,2.75E-05,0.000296979
Timm44,Timm44,80.33140655,-1.782226542,0.358216819,-4.973619735,6.57E-07,1.15E-05
Synpo2l,Synpo2l,16.2953233,-1.781330585,0.46404645,-3.805956793,0.000141257,0.00119223
Kl,Kl,7.663824143,-1.781141995,0.486835554,-3.6117194,0.000304174,0.00225243
LOC120093305,LOC120093305,8.746106765,-1.780431942,0.487762415,-3.666852841,0.000245554,0.001898003
Cflar,Cflar,488.456865,-1.777607932,0.177201047,-10.02921731,1.13E-23,2.77E-21
LOC120094340,LOC120094340,31.44698784,-1.777303865,0.429501723,-4.127384903,3.67E-05,0.000379033
Mettl24,Mettl24,96.29771655,-1.775809996,0.387947943,-4.574998235,4.76E-06,6.47E-05
LOC108351430,LOC108351430,5.891117679,-1.775728723,0.476970343,-4.176309564,2.96E-05,0.000316831
Sox11,Sox11,91.84088996,-1.775724517,0.344216507,-5.155526634,2.53E-07,4.99E-06
LOC120102327,LOC120102327,38.72743853,-1.77533903,0.434702987,-4.079090862,4.52E-05,0.000452439
LOC120093832,LOC120093832,24.45003688,-1.774860711,0.427947969,-4.126847065,3.68E-05,0.000379709
LOC120101240,LOC120101240,11.33821451,-1.772622607,0.487262233,-3.752391704,0.000175156,0.001425146
Nr1i3,Nr1i3,18.0473057,-1.770571418,0.448714309,-3.925312539,8.66E-05,0.000785784
Dmrt3,Dmrt3,11.95763001,-1.767917402,0.486207441,-3.663181672,0.000249102,0.001920276
LOC684427,LOC684427,18.8441134,-1.767805098,0.459756162,-3.82224568,0.000132242,0.001126912
